Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
179,SA,[-0.010354682515739455],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99721927  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.0077266693115234375 overhead=None qpu=None
180,SA,[-0.01171027325105456],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99767498  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007749319076538086 overhead=None qpu=None
181,SA,[-0.010363469514956591],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99794487  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.008556604385375977 overhead=None qpu=None
182,SA,[-0.01329339955401565],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99769104  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007879972457885742 overhead=None qpu=None
183,SA,[-0.010085556327197764],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99724379  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007818222045898438 overhead=None qpu=None
184,SA,[-0.011413862186998358],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99787966  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.008531808853149414 overhead=None qpu=None
185,SA,[-0.011320389187545743],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99715259  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.009226799011230469 overhead=None qpu=None
186,SA,[-0.011647968294184352],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99754588  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.009060859680175781 overhead=None qpu=None
187,SA,[-0.01239413838302994],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99711696  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.008622169494628906 overhead=None qpu=None
188,SA,[-0.005510077491706511],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99785974  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",False,total=0.008043766021728516 overhead=None qpu=None
